model,split,region,variable,metric_space,num_seeds,MAE_mean_across_seeds,MAE_std_across_seeds,MAE_ci95_across_seeds,MAE_n_seeds,RMSE_mean_across_seeds,RMSE_std_across_seeds,RMSE_ci95_across_seeds,RMSE_n_seeds,R2_mean_across_seeds,R2_std_across_seeds,R2_ci95_across_seeds,R2_n_seeds
full_bagnn,train,airfoil,V,zscore,3,0.004555998913578996,0.0011139664959936377,0.0012605717584070958,3,0.006996740109436701,0.0006713025148103015,0.0007596503077614646,3,nan,nan,nan,0
full_bagnn,train,farfield,Cp,physical,3,0.009226731189122917,0.0007123994963144209,0.0008061559202966621,3,0.012235129904256294,0.0009745039350283762,0.0011027550140613658,3,-0.39786627526496776,0.11261496306693367,0.1274358273132889,3
full_bagnn,train,farfield,Cp,zscore,3,0.012917795952238813,0.0009973879951977612,0.0011286507659273,3,0.017129675316266992,0.001364344822354005,0.0015439015068889716,3,-0.3978662372720267,0.11261498069715209,0.12743584726375912,3
full_bagnn,train,farfield,U,physical,3,0.22562215746606615,0.02268445694366042,0.025669879552771925,3,0.28390825156163707,0.03159671360562785,0.035755047367204834,3,-3.22539570634169,0.7392303145832183,0.8365178493907957,3
full_bagnn,train,farfield,U,zscore,3,0.017996247433054755,0.0018093797520139729,0.0020475059383073904,3,0.022645302207869478,0.002520240095246966,0.0028519201429301148,3,-3.2254021858715958,0.7392300265372814,0.8365175234361332,3
full_bagnn,train,farfield,V,physical,3,0.1812137135267348,0.005929047879602459,0.0067093492830802536,3,0.23354345243783084,0.002734926528563348,0.0030948607122605995,3,-2.099932021201559,0.6022698966934644,0.6815325464823284,3
full_bagnn,train,farfield,V,zscore,3,0.021268306583708162,0.0006958662318303379,0.0007874467702837436,3,0.027410032973993425,0.00032098761075331447,0.0003632316756109234,3,-2.0999381744488197,0.6022714866216845,0.6815343456554807,3
full_bagnn,train,global,Cp,physical,3,0.0547845835429114,0.0008958108716078875,0.001013705429816982,3,0.08511212489088259,0.0016073019982532433,0.0018188334330666454,3,0.9757804586212173,0.0010507986028874352,0.0011890905582326412,3
full_bagnn,train,global,Cp,zscore,3,0.07670062686103445,0.0012541713641785268,0.0014192285024480498,3,0.11916040755359576,0.002250287423834148,0.002546439937813163,3,0.9757804587472302,0.001050798509103008,0.001189090452105571,3
full_bagnn,train,global,U,physical,3,1.9320988473952259,0.055999582948805006,0.06336949360839872,3,2.839683837167881,0.07601945793923015,0.08602411482953336,3,0.9446976447602284,0.002908016050112395,0.0032907299447066814,3
full_bagnn,train,global,U,zscore,3,0.15410940731578723,0.0044666775201394,0.005054521438526036,3,0.22650082856122797,0.0060635165185229205,0.006861514872641704,3,0.9446976449730338,0.0029080160344128643,0.0032907299269409897,3
full_bagnn,train,global,V,physical,3,0.6516109359289696,0.014179773684563655,0.016045924461508366,3,1.1208020071125304,0.021504825254012476,0.024335000632588734,3,0.9766631368676539,0.0009133934194729481,0.0010336019557531293,3
full_bagnn,train,global,V,zscore,3,0.07647689820062796,0.0016642218610519754,0.0018832443213604513,3,0.13154392721909455,0.0025239330050307335,0.0028560990637473073,3,0.9766631362601403,0.0009133934730166544,0.0010336020163435366,3
full_bagnn,train,interior,Cp,physical,3,0.05487182553933303,0.0009087985719679463,0.001028402396323089,3,0.08404533308496191,0.0016139142047636103,0.0018263158491156934,3,0.9760887712836587,0.0010468649376765618,0.0011846391970025778,3
full_bagnn,train,interior,Cp,zscore,3,0.0768227691084888,0.0012723546470977127,0.00143980482409281,3,0.11766685609991318,0.0022595450659234277,0.002556915946031684,3,0.9760887714672731,0.0010468649463204404,0.0011846392067840473,3
full_bagnn,train,interior,U,physical,3,1.9808419276000047,0.0571648674435332,0.0646881371491578,3,2.877823341021207,0.07702230697720115,0.08715894534711043,3,0.9398847244504981,0.003167344997128397,0.0035841882739486492,3
full_bagnn,train,interior,U,zscore,3,0.1579972863940011,0.004559623713007398,0.005159699957092116,3,0.2295429378119428,0.006143506431130568,0.006952031979891604,3,0.939884724711844,0.0031673449223327856,0.0035841881893094473,3
full_bagnn,train,interior,V,physical,3,0.6669105569765756,0.014742724863409811,0.016682963690217358,3,1.1356668724780052,0.021802424995223748,0.02467176644235895,3,0.9766177017481836,0.0009152141193637716,0.001035662271634407,3
full_bagnn,train,interior,V,zscore,3,0.07827255183819835,0.001730293176330171,0.001958011053017146,3,0.1332885554961,0.0025588611004110757,0.002895623924476745,3,0.9766177012060179,0.0009152141434757784,0.0010356622989197112,3
full_bagnn,val,airfoil,Cp,physical,3,0.07956421343075085,0.000991569277485892,0.0011220662669822192,3,0.14692229244972035,0.0015847130719521046,0.0017932716566125381,3,0.9618345994448486,0.0009279487914422836,0.001050072909685445,3
full_bagnn,val,airfoil,Cp,zscore,3,0.1113931079178654,0.0013882370294817704,0.001570938084433801,3,0.20569713445606805,0.0022186621152791193,0.002510652532214559,3,0.9618345996203242,0.0009279487547962237,0.0010500728682165245,3
full_bagnn,val,airfoil,U,physical,3,0.094912153845106,0.01447983341042108,0.016385474005961992,3,0.17485930480685385,0.016783017689594736,0.018991772370567473,3,nan,nan,nan,0
